Date : 2021-05-11 23:02:47
Directory : ./
Total : 764 files,  103643 codes, 40894 comments, 28426 blanks, all 172963 lines, 28.29% comment rate

Languages
+------------------+------------+------------+------------+------------+------------+--------------+
| language         | files      | code       | comment    | blank      | total      | comment rate |
| third-party/inih/ini.h                                                            | C++              |         33 |         32 |         13 |         78 |       49.23% |
| third-party/lord_imu/Include/byteswap_utilities.h                                 | C++              |         12 |         49 |         15 |         76 |       80.33% |
| third-party/lord_imu/Include/mainpage.h                                           | C++              |          0 |         47 |          2 |         49 |      100.00% |
| third-party/lord_imu/Include/mip.h                                                | C++              |         75 |         74 |         53 |        202 |       49.66% |
| third-party/lord_imu/Include/mip_gx3_35.h                                         | C++              |         46 |         56 |         31 |        133 |       54.90% |
| third-party/lord_imu/Include/mip_gx3_45.h                                         | C++              |         46 |         55 |         31 |        132 |       54.46% |
| third-party/lord_imu/Include/mip_gx4_15.h                                         | C++              |         36 |         63 |         35 |        134 |       63.64% |
| third-party/lord_imu/Include/mip_gx4_25.h                                         | C++              |         36 |         62 |         35 |        133 |       63.27% |
| third-party/lord_imu/Include/mip_gx4_45.h                                         | C++              |         45 |         63 |         36 |        144 |       58.33% |
| third-party/lord_imu/Include/mip_gx4_imu.h                                        | C++              |         38 |         64 |         32 |        134 |       62.75% |
| third-party/lord_imu/Include/mip_rq1.h                                            | C++              |         48 |         64 |         37 |        149 |       57.14% |
| third-party/lord_imu/Include/mip_rq1_imu.h                                        | C++              |         36 |         63 |         32 |        131 |       63.64% |
| third-party/lord_imu/Include/mip_sdk.h                                            | C++              |         18 |         33 |         13 |         64 |       64.71% |
| third-party/lord_imu/Include/mip_sdk_3dm.h                                        | C++              |        125 |         72 |         56 |        253 |       36.55% |
| third-party/lord_imu/Include/mip_sdk_ahrs.h                                       | C++              |        153 |         92 |         67 |        312 |       37.55% |
| third-party/lord_imu/Include/mip_sdk_base.h                                       | C++              |         40 |         66 |         32 |        138 |       62.26% |
| third-party/lord_imu/Include/mip_sdk_config.h                                     | C++              |          9 |         63 |         23 |         95 |       87.50% |
| third-party/lord_imu/Include/mip_sdk_filter.h                                     | C++              |        458 |        170 |        179 |        807 |       27.07% |
| third-party/lord_imu/Include/mip_sdk_gps.h                                        | C++              |        216 |        142 |        119 |        477 |       39.66% |
| third-party/lord_imu/Include/mip_sdk_interface.h                                  | C++              |         61 |         56 |         38 |        155 |       47.86% |
| third-party/lord_imu/Include/mip_sdk_system.h                                     | C++              |          9 |         60 |         22 |         91 |       86.96% |
| third-party/lord_imu/Include/mip_sdk_user_functions.h                             | C++              |         25 |         44 |         17 |         86 |       63.77% |
| third-party/lord_imu/Include/mip_types.h                                          | C++              |         12 |         49 |         14 |         75 |       80.33% |
| third-party/lord_imu/Include/ring_buffer.h                                        | C++              |         55 |         54 |         32 |        141 |       49.54% |
| third-party/lord_imu/LordImu.cpp                                                  | C++              |        320 |         17 |         74 |        411 |        5.04% |
| third-party/lord_imu/LordImu.h                                                    | C++              |         80 |          0 |         20 |        100 |        0.00% |
| third-party/lord_imu/Source/byteswap_utilities.c                                  | C                |         28 |         72 |         15 |        115 |       72.00% |
| third-party/lord_imu/Source/mip.c                                                 | C                |        183 |        403 |        114 |        700 |       68.77% |
| third-party/lord_imu/Source/mip_sdk_3dm.c                                         | C                |        948 |      1,054 |        319 |      2,321 |       52.65% |
| third-party/lord_imu/Source/mip_sdk_ahrs.c                                        | C                |        121 |        356 |         78 |        555 |       74.63% |
| third-party/lord_imu/Source/mip_sdk_base.c                                        | C                |        107 |        204 |         46 |        357 |       65.59% |
| third-party/lord_imu/Source/mip_sdk_filter.c                                      | C                |      1,161 |      1,777 |        443 |      3,381 |       60.48% |
| third-party/lord_imu/Source/mip_sdk_gps.c                                         | C                |        102 |        254 |         51 |        407 |       71.35% |
| third-party/lord_imu/Source/mip_sdk_inteface.c                                    | C                |        403 |        510 |        175 |      1,088 |       55.86% |
| third-party/lord_imu/Source/mip_sdk_system.c                                      | C                |         26 |         76 |         18 |        120 |       74.51% |
| third-party/lord_imu/Source/mip_sdk_user_functions.c                              | C                |        233 |        237 |        112 |        582 |       50.43% |
| third-party/lord_imu/Source/ring_buffer.c                                         | C                |        326 |        605 |        201 |      1,132 |       64.98% |
| third-party/lord_imu/test/lord_test.cpp                                           | C++              |         27 |          3 |         10 |         40 |       10.00% |
| third-party/osqp/.bumpversion.cfg                                                 | Properties       |         13 |          0 |         11 |         24 |        0.00% |
| third-party/osqp/.travis.yml                                                      | YAML             |         27 |          6 |          4 |         37 |       18.18% |
| third-party/osqp/CHANGELOG.md                                                     | Markdown         |         74 |          0 |         20 |         94 |        0.00% |
| third-party/osqp/README.md                                                        | Markdown         |         25 |          0 |         21 |         46 |        0.00% |
| third-party/osqp/ROADMAP.md                                                       | Markdown         |          3 |          0 |          2 |          5 |        0.00% |
| third-party/osqp/appveyor.yml                                                     | YAML             |         18 |          6 |          9 |         33 |       25.00% |
| third-party/osqp/ci/appveyor/deploy.cmd                                           | Batch            |         43 |          0 |         16 |         59 |        0.00% |
| third-party/osqp/ci/appveyor/install.cmd                                          | Batch            |         39 |          0 |         12 |         51 |        0.00% |
| third-party/osqp/ci/appveyor/script.cmd                                           | Batch            |         31 |          0 |          6 |         37 |        0.00% |
| third-party/osqp/ci/travis/deploy.sh                                              | Shell Script     |         47 |         15 |         19 |         81 |       24.19% |
| third-party/osqp/ci/travis/docs.sh                                                | Shell Script     |         23 |         12 |         16 |         51 |       34.29% |
| third-party/osqp/ci/travis/install.sh                                             | Shell Script     |         32 |          7 |          9 |         48 |       17.95% |
| third-party/osqp/ci/travis/script.sh                                              | Shell Script     |         50 |          9 |         13 |         72 |       15.25% |
| third-party/osqp/configure/cmake/FindPythonModule.cmake                           | CMake            |         79 |          0 |         16 |         95 |        0.00% |
| third-party/osqp/configure/cmake/FindR.cmake                                      | CMake            |         22 |          0 |          9 |         31 |        0.00% |
| third-party/osqp/configure/cmake/Utils.cmake                                      | CMake            |          8 |          0 |          1 |          9 |        0.00% |
| third-party/osqp/docs/Makefile                                                    | Makefile         |         10 |          6 |          6 |         22 |       37.50% |
| third-party/osqp/docs/_static/css/osqp_theme.css                                  | CSS              |        118 |         25 |         49 |        192 |       17.48% |
| third-party/osqp/docs/_templates/layout.html                                      | HTML             |         19 |          0 |          2 |         21 |        0.00% |
| third-party/osqp/docs/conf.py                                                     | Python           |         56 |         89 |         49 |        194 |       61.38% |
| third-party/osqp/docs/doxygen.conf                                                | Properties       |        319 |      1,604 |        551 |      2,474 |       83.41% |
| third-party/osqp/docs/make.bat                                                    | Batch            |         28 |          0 |          9 |         37 |        0.00% |
| third-party/osqp/docs/requirements.txt                                            | pip requirements |          1 |          0 |          1 |          2 |        0.00% |
| third-party/osqp/examples/osqp_demo.c                                             | C                |         43 |          8 |         14 |         65 |       15.69% |
| third-party/osqp/include/auxil.h                                                  | C++              |         39 |         96 |         42 |        177 |       71.11% |
| third-party/osqp/include/constants.h                                              | C++              |         74 |         24 |         26 |        124 |       24.49% |
| third-party/osqp/include/cs.h                                                     | C++              |         44 |        104 |         33 |        181 |       70.27% |
| third-party/osqp/include/ctrlc.h                                                  | C++              |         21 |         17 |         19 |         57 |       44.74% |
| third-party/osqp/include/glob_opts.h                                              | C++              |        100 |         40 |         44 |        184 |       28.57% |
| third-party/osqp/include/kkt.h                                                    | C++              |         38 |         55 |         17 |        110 |       59.14% |
| third-party/osqp/include/lin_alg.h                                                | C++              |        102 |         66 |         49 |        217 |       39.29% |
| third-party/osqp/include/lin_sys.h                                                | C++              |         20 |         24 |         17 |         61 |       54.55% |
| third-party/osqp/include/osqp.h                                                   | C++              |         90 |        261 |         80 |        431 |       74.36% |
| third-party/osqp/include/osqp_configure.h                                         | C++              |         14 |         13 |         13 |         40 |       48.15% |
| third-party/osqp/include/polish.h                                                 | C++              |         11 |          8 |          8 |         27 |       42.11% |
| third-party/osqp/include/proj.h                                                   | C++              |         15 |         12 |         11 |         38 |       44.44% |
| third-party/osqp/include/scaling.h                                                | C++              |         17 |         19 |         12 |         48 |       52.78% |
| third-party/osqp/include/types.h                                                  | C++              |        174 |        105 |         67 |        346 |       37.63% |
| third-party/osqp/include/util.h                                                   | C++              |         82 |         77 |         64 |        223 |       48.43% |
| third-party/osqp/lin_sys/direct/pardiso/pardiso_interface.c                       | C                |        159 |         37 |         45 |        241 |       18.88% |
| third-party/osqp/lin_sys/direct/pardiso/pardiso_interface.h                       | C++              |         45 |         54 |         26 |        125 |       54.55% |
| third-party/osqp/lin_sys/direct/pardiso/pardiso_loader.c                          | C                |         66 |         13 |         24 |        103 |       16.46% |
| third-party/osqp/lin_sys/direct/pardiso/pardiso_loader.h                          | C++              |         11 |         10 |          9 |         30 |       47.62% |
| third-party/osqp/lin_sys/direct/qdldl/amd/include/SuiteSparse_config.h            | C++              |        102 |        111 |         31 |        244 |       52.11% |
| third-party/osqp/lin_sys/direct/qdldl/amd/include/amd.h                           | C++              |        115 |        251 |         36 |        402 |       68.58% |
| third-party/osqp/lin_sys/direct/qdldl/amd/include/amd_internal.h                  | C++              |        198 |         73 |         58 |        329 |       26.94% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/SuiteSparse_config.c                | C                |        217 |        142 |         55 |        414 |       39.55% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_1.c                             | C                |        114 |         48 |         19 |        181 |       29.63% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_2.c                             | C                |        757 |        887 |        199 |      1,843 |       53.95% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_aat.c                           | C                |        127 |         39 |         19 |        185 |       23.49% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_control.c                       | C                |         43 |         12 |         10 |         65 |       21.82% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_defaults.c                      | C                |         17 |         14 |          7 |         38 |       45.16% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_info.c                          | C                |         88 |         16 |         16 |        120 |       15.38% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_order.c                         | C                |        138 |         38 |         24 |        200 |       21.59% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_post_tree.c                     | C                |         73 |         34 |         14 |        121 |       31.78% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_postorder.c                     | C                |        148 |         33 |         26 |        207 |       18.23% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_preprocess.c                    | C                |         63 |         37 |         19 |        119 |       37.00% |
| third-party/osqp/lin_sys/direct/qdldl/amd/src/amd_valid.c                         | C                |         50 |         37 |          6 |         93 |       42.53% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_interface.c                           | C                |        214 |         66 |         85 |        365 |       23.57% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_interface.h                           | C++              |         52 |         52 |         27 |        131 |       50.00% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/.travis.yml                   | YAML             |         35 |          5 |          9 |         49 |       12.50% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/CHANGELOG.md                  | Markdown         |         17 |          0 |          7 |         24 |        0.00% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/README.md                     | Markdown         |         76 |          0 |         45 |        121 |        0.00% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/appveyor.yml                  | YAML             |         20 |          8 |          7 |         35 |       28.57% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/examples/c/example.c          | C                |        104 |         35 |         39 |        178 |       25.18% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/examples/julia/example.jl     | Julia            |         76 |         10 |         25 |        111 |       11.63% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/include/qdldl.h               | C++              |         46 |        115 |         17 |        178 |       71.43% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/include/qdldl_types.h         | C++              |         12 |          1 |          6 |         19 |        7.69% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/julia/QDLDL.jl                | Julia            |        210 |         83 |         94 |        387 |       28.33% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/julia/README.md               | Markdown         |          2 |          0 |          2 |          4 |        0.00% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/julia/example.jl              | Julia            |         27 |          1 |         13 |         41 |        3.57% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/src/qdldl.c                   | C                |        158 |         70 |         66 |        294 |       30.70% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/julia/test.jl           | Julia            |        145 |          9 |         50 |        204 |        5.84% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/minunit.h               | C++              |          7 |          3 |          4 |         14 |       30.00% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/qdldl_tester.c          | C                |         95 |         37 |         45 |        177 |       28.03% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/test_basic.h            | C++              |         16 |          3 |          5 |         24 |       15.79% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/test_identity.h         | C++              |         13 |          3 |          5 |         21 |       18.75% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/test_osqp_kkt.h         | C++              |         13 |          7 |          7 |         27 |       35.00% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/test_rank_deficient.h   | C++              |         11 |          3 |          5 |         19 |       21.43% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/test_singleton.h        | C++              |         13 |          3 |          5 |         21 |       18.75% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/test_sym_structure.h    | C++              |         11 |          3 |          5 |         19 |       21.43% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/test_tril_structure.h   | C++              |         11 |          3 |          5 |         19 |       21.43% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/test_two_by_two.h       | C++              |         13 |          3 |          5 |         21 |       18.75% |
| third-party/osqp/lin_sys/direct/qdldl/qdldl_sources/tests/test_zero_on_diag.h     | C++              |         13 |          4 |          5 |         22 |       23.53% |
| third-party/osqp/lin_sys/lib_handler.c                                            | C                |        123 |         17 |         16 |        156 |       12.14% |
| third-party/osqp/lin_sys/lib_handler.h                                            | C++              |         21 |         12 |         12 |         45 |       36.36% |
| third-party/osqp/src/auxil.c                                                      | C                |        704 |        148 |        179 |      1,031 |       17.37% |
| third-party/osqp/src/cs.c                                                         | C                |        220 |         26 |         70 |        316 |       10.57% |
| third-party/osqp/src/ctrlc.c                                                      | C                |         52 |          8 |         21 |         81 |       13.33% |
| third-party/osqp/src/kkt.c                                                        | C                |        138 |         37 |         43 |        218 |       21.14% |
| third-party/osqp/src/lin_alg.c                                                    | C                |        302 |         25 |         86 |        413 |        7.65% |
| third-party/osqp/src/lin_sys.c                                                    | C                |         58 |          8 |         19 |         85 |       12.12% |
| third-party/osqp/src/osqp.c                                                       | C                |        974 |        282 |        316 |      1,572 |       22.45% |
| third-party/osqp/src/polish.c                                                     | C                |        169 |         90 |         50 |        309 |       34.75% |
| third-party/osqp/src/proj.c                                                       | C                |         20 |          1 |          9 |         30 |        4.76% |
| third-party/osqp/src/scaling.c                                                    | C                |         89 |         73 |         46 |        208 |       45.06% |
| third-party/osqp/src/util.c                                                       | C                |        304 |         36 |         97 |        437 |       10.59% |
| third-party/osqp/tests/README.md                                                  | Markdown         |          6 |          0 |          4 |         10 |        0.00% |
| third-party/osqp/tests/__init__.py                                                | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/basic_qp/__init__.py                                       | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/basic_qp/generate_problem.py                               | Python           |         21 |          3 |          8 |         32 |       12.50% |
| third-party/osqp/tests/basic_qp/test_basic_qp.h                                   | C++              |        305 |        116 |        153 |        574 |       27.55% |
| third-party/osqp/tests/basic_qp2/__init__.py                                      | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/basic_qp2/generate_problem.py                              | Python           |         24 |          3 |          8 |         35 |       11.11% |
| third-party/osqp/tests/basic_qp2/test_basic_qp2.h                                 | C++              |        124 |         45 |         65 |        234 |       26.63% |
| third-party/osqp/tests/generate_tests_data.py                                     | Python           |          9 |          1 |          2 |         12 |       10.00% |
| third-party/osqp/tests/lin_alg/__init__.py                                        | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/lin_alg/generate_problem.py                                | Python           |        101 |          9 |         16 |        126 |        8.18% |
| third-party/osqp/tests/lin_alg/test_lin_alg.h                                     | C++              |        206 |         45 |         66 |        317 |       17.93% |
| third-party/osqp/tests/minunit.h                                                  | C++              |          7 |          3 |          4 |         14 |       30.00% |
| third-party/osqp/tests/non_cvx/__init__.py                                        | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/non_cvx/generate_problem.py                                | Python           |         11 |          1 |          5 |         17 |        8.33% |
| third-party/osqp/tests/non_cvx/test_non_cvx.h                                     | C++              |         36 |         15 |         24 |         75 |       29.41% |
| third-party/osqp/tests/osqp_tester.c                                              | C                |         37 |          4 |         12 |         53 |        9.76% |
| third-party/osqp/tests/osqp_tester.h                                              | C++              |         31 |          8 |         13 |         52 |       20.51% |
| third-party/osqp/tests/primal_dual_infeasibility/__init__.py                      | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/primal_dual_infeasibility/generate_problem.py              | Python           |         30 |          2 |          5 |         37 |        6.25% |
| third-party/osqp/tests/primal_dual_infeasibility/test_primal_dual_infeasibility.h | C++              |        154 |         39 |         50 |        243 |       20.21% |
| third-party/osqp/tests/primal_infeasibility/__init__.py                           | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/primal_infeasibility/generate_problem.py                   | Python           |         19 |          6 |          9 |         34 |       24.00% |
| third-party/osqp/tests/primal_infeasibility/test_primal_infeasibility.h           | C++              |         36 |         11 |         21 |         68 |       23.40% |
| third-party/osqp/tests/solve_linsys/__init__.py                                   | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/solve_linsys/generate_problem.py                           | Python           |         34 |          5 |          8 |         47 |       12.82% |
| third-party/osqp/tests/solve_linsys/test_solve_linsys.h                           | C++              |         71 |         24 |         29 |        124 |       25.26% |
| third-party/osqp/tests/unconstrained/__init__.py                                  | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/unconstrained/generate_problem.py                          | Python           |         12 |          2 |          3 |         17 |       14.29% |
| third-party/osqp/tests/unconstrained/test_unconstrained.h                         | C++              |         36 |         13 |         22 |         71 |       26.53% |
| third-party/osqp/tests/update_matrices/__init__.py                                | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/update_matrices/generate_problem.py                        | Python           |         88 |          8 |         18 |        114 |        8.33% |
| third-party/osqp/tests/update_matrices/test_update_matrices.h                     | C++              |        243 |         71 |         99 |        413 |       22.61% |
| third-party/osqp/tests/utils/__init__.py                                          | Python           |          0 |          0 |          1 |          1 |        0.00% |
| third-party/osqp/tests/utils/codegen_utils.py                                     | Python           |        283 |         84 |         82 |        449 |       22.89% |
| third-party/qpOASES/Makefile                                                      | Makefile         |         31 |         38 |         26 |         95 |       55.07% |
| third-party/qpOASES/include/qpOASES.hpp                                           | C++              |         33 |         28 |         13 |         74 |       45.90% |
| third-party/qpOASES/include/qpOASES/Bounds.hpp                                    | C++              |         58 |        144 |         55 |        257 |       71.29% |
| third-party/qpOASES/include/qpOASES/Bounds.ipp                                    | C++              |         34 |         61 |         26 |        121 |       64.21% |
| third-party/qpOASES/include/qpOASES/Constants.hpp                                 | C++              |         14 |         42 |         22 |         78 |       75.00% |
| third-party/qpOASES/include/qpOASES/ConstraintProduct.hpp                         | C++              |         22 |         53 |         17 |         92 |       70.67% |
| third-party/qpOASES/include/qpOASES/Constraints.hpp                               | C++              |         55 |        139 |         53 |        247 |       71.65% |
| third-party/qpOASES/include/qpOASES/Constraints.ipp                               | C++              |         34 |         61 |         28 |        123 |       64.21% |
| third-party/qpOASES/include/qpOASES/Flipper.hpp                                   | C++              |         50 |         71 |         35 |        156 |       58.68% |
| third-party/qpOASES/include/qpOASES/Indexlist.hpp                                 | C++              |         59 |         97 |         44 |        200 |       62.18% |
| third-party/qpOASES/include/qpOASES/Indexlist.ipp                                 | C++              |         23 |         50 |         20 |         93 |       68.49% |
| third-party/qpOASES/include/qpOASES/LapackBlasReplacement.hpp                     | C++              |         45 |         76 |         25 |        146 |       62.81% |
| third-party/qpOASES/include/qpOASES/Matrices.hpp                                  | C++              |        496 |        338 |        151 |        985 |       40.53% |
| third-party/qpOASES/include/qpOASES/MessageHandling.hpp                           | C++              |        262 |        151 |         68 |        481 |       36.56% |
| third-party/qpOASES/include/qpOASES/MessageHandling.ipp                           | C++              |         48 |         66 |         31 |        145 |       57.89% |
| third-party/qpOASES/include/qpOASES/Options.hpp                                   | C++              |         61 |         76 |         38 |        175 |       55.47% |
| third-party/qpOASES/include/qpOASES/QProblem.hpp                                  | C++              |        397 |        549 |        137 |      1,083 |       58.03% |
| third-party/qpOASES/include/qpOASES/QProblem.ipp                                  | C++              |        142 |         79 |         64 |        285 |       35.75% |
| third-party/qpOASES/include/qpOASES/QProblemB.hpp                                 | C++              |        338 |        526 |        158 |      1,022 |       60.88% |
| third-party/qpOASES/include/qpOASES/QProblemB.ipp                                 | C++              |        255 |        133 |        109 |        497 |       34.28% |
| third-party/qpOASES/include/qpOASES/SQProblem.hpp                                 | C++              |         98 |        224 |         38 |        360 |       69.57% |
| third-party/qpOASES/include/qpOASES/SQProblem.ipp                                 | C++              |          2 |         38 |         12 |         52 |       95.00% |
| third-party/qpOASES/include/qpOASES/SQProblemSchur.hpp                            | C++              |        176 |        180 |         71 |        427 |       50.56% |
| third-party/qpOASES/include/qpOASES/SQProblemSchur.ipp                            | C++              |          6 |         41 |         11 |         58 |       87.23% |
| third-party/qpOASES/include/qpOASES/SparseSolver.hpp                              | C++              |        150 |        154 |         93 |        397 |       50.66% |
| third-party/qpOASES/include/qpOASES/SubjectTo.hpp                                 | C++              |         64 |        115 |         51 |        230 |       64.25% |
| third-party/qpOASES/include/qpOASES/SubjectTo.ipp                                 | C++              |         62 |         64 |         33 |        159 |       50.79% |
| third-party/qpOASES/include/qpOASES/Types.hpp                                     | C++              |        143 |        121 |         85 |        349 |       45.83% |
| third-party/qpOASES/include/qpOASES/UnitTesting.hpp                               | C++              |         15 |         40 |         25 |         80 |       72.73% |
| third-party/qpOASES/include/qpOASES/Utils.hpp                                     | C++              |        167 |        130 |         70 |        367 |       43.77% |
| third-party/qpOASES/include/qpOASES/Utils.ipp                                     | C++              |         80 |         62 |         33 |        175 |       43.66% |
| third-party/qpOASES/include/qpOASES/extras/OQPinterface.hpp                       | C++              |        124 |        100 |         27 |        251 |       44.64% |
| third-party/qpOASES/include/qpOASES/extras/SolutionAnalysis.hpp                   | C++              |         48 |         88 |         31 |        167 |       64.71% |
| third-party/qpOASES/include/qpOASES/extras/SolutionAnalysis.ipp                   | C++              |          2 |         38 |         12 |         52 |       95.00% |
| third-party/qpOASES/make.mk                                                       | Makefile         |          2 |         30 |          7 |         39 |       93.75% |
| third-party/qpOASES/make_cygwin.mk                                                | Makefile         |         52 |         46 |         22 |        120 |       46.94% |
| third-party/qpOASES/make_linux.mk                                                 | Makefile         |         55 |         50 |         24 |        129 |       47.62% |
| third-party/qpOASES/make_osx.mk                                                   | Makefile         |         55 |         47 |         23 |        125 |       46.08% |
| third-party/qpOASES/make_windows.mk                                               | Makefile         |         52 |         50 |         25 |        127 |       49.02% |
| third-party/qpOASES/src/BLASReplacement.cpp                                       | C++              |        105 |         30 |         12 |        147 |       22.22% |
| third-party/qpOASES/src/Bounds.cpp                                                | C++              |        276 |        121 |        118 |        515 |       30.48% |
| third-party/qpOASES/src/Constraints.cpp                                           | C++              |        269 |        116 |        115 |        500 |       30.13% |
| third-party/qpOASES/src/Flipper.cpp                                               | C++              |        129 |         70 |         61 |        260 |       35.18% |
| third-party/qpOASES/src/Indexlist.cpp                                             | C++              |        158 |         90 |         72 |        320 |       36.29% |
| third-party/qpOASES/src/LAPACKReplacement.cpp                                     | C++              |         95 |         32 |         26 |        153 |       25.20% |
| third-party/qpOASES/src/Makefile                                                  | Makefile         |         52 |         36 |         23 |        111 |       40.91% |
| third-party/qpOASES/src/Matrices.cpp                                              | C++              |      1,864 |         55 |        282 |      2,201 |        2.87% |
| third-party/qpOASES/src/MessageHandling.cpp                                       | C++              |        421 |        117 |         95 |        633 |       21.75% |
| third-party/qpOASES/src/OQPinterface.cpp                                          | C++              |        448 |        126 |        110 |        684 |       21.95% |
| third-party/qpOASES/src/Options.cpp                                               | C++              |        364 |         78 |        122 |        564 |       17.65% |
| third-party/qpOASES/src/QProblem.cpp                                              | C++              |      4,574 |        750 |      1,139 |      6,463 |       14.09% |
| third-party/qpOASES/src/QProblemB.cpp                                             | C++              |      2,588 |        525 |        745 |      3,858 |       16.86% |
| third-party/qpOASES/src/SQProblem.cpp                                             | C++              |        311 |        129 |        115 |        555 |       29.32% |
| third-party/qpOASES/src/SQProblemSchur.cpp                                        | C++              |      2,636 |        426 |        562 |      3,624 |       13.91% |
| third-party/qpOASES/src/SolutionAnalysis.cpp                                      | C++              |        309 |        217 |        156 |        682 |       41.25% |
| third-party/qpOASES/src/SparseSolver.cpp                                          | C++              |        702 |        227 |        176 |      1,105 |       24.43% |
| third-party/qpOASES/src/SubjectTo.cpp                                             | C++              |        155 |         75 |         60 |        290 |       32.61% |
| third-party/qpOASES/src/Utils.cpp                                                 | C++              |        677 |        168 |        217 |      1,062 |       19.88% |
| third-party/vectornav/include/vn/bool.h                                           | C++              |         22 |          6 |         10 |         38 |       21.43% |
| third-party/vectornav/include/vn/const.h                                          | C++              |          4 |          1 |          3 |          8 |       20.00% |
| third-party/vectornav/include/vn/conv.h                                           | C++              |          6 |          6 |          5 |         17 |       50.00% |
| third-party/vectornav/include/vn/enum.h                                           | C++              |        355 |        223 |         68 |        646 |       38.58% |
| third-party/vectornav/include/vn/error.h                                          | C++              |          5 |          5 |          5 |         15 |       50.00% |
| third-party/vectornav/include/vn/error_detection.h                                | C++              |         14 |         13 |          8 |         35 |       48.15% |
| third-party/vectornav/include/vn/int.h                                            | C++              |         23 |          2 |          5 |         30 |        8.00% |
| third-party/vectornav/include/vn/math/matrix.h                                    | C++              |         51 |         17 |         20 |         88 |       25.00% |
| third-party/vectornav/include/vn/math/vector.h                                    | C++              |         77 |         61 |         35 |        173 |       44.20% |
| third-party/vectornav/include/vn/protocol/common.h                                | C++              |         54 |          1 |          6 |         61 |        1.82% |
| third-party/vectornav/include/vn/protocol/spi.h                                   | C++              |        878 |      1,449 |        155 |      2,482 |       62.27% |
| third-party/vectornav/include/vn/protocol/upack.h                                 | C++              |        900 |      2,392 |        321 |      3,613 |       72.66% |
| third-party/vectornav/include/vn/protocol/upackf.h                                | C++              |         44 |         50 |         33 |        127 |       53.19% |
| third-party/vectornav/include/vn/sensors.h                                        | C++              |        534 |      1,015 |        409 |      1,958 |       65.53% |
| third-party/vectornav/include/vn/sensors/compositedata.h                          | C++              |        146 |         79 |         21 |        246 |       35.11% |
| third-party/vectornav/include/vn/sensors/ezasyncdata.h                            | C++              |         23 |         25 |         13 |         61 |       52.08% |
| third-party/vectornav/include/vn/sensors/searcher.h                               | C++              |         36 |         41 |         18 |         95 |       53.25% |
| third-party/vectornav/include/vn/types.h                                          | C++              |         34 |          6 |         14 |         54 |       15.00% |
